keys,en
BTL文件,btl files
新建,add
搜索,search
编辑地图,edit map
编辑地形,edit terrain
截取地图,cutting map
版本转换,version conversion
关于,info
项目,project
错误检查,error check
保存文件,save 
退出,return
帮助,help
设置,setting
编辑器,editor
编辑面板,panel
数据面板,data panel
军队面板,unit panel
主数据,main data
将领,general
复制军队,copy army
删除军队,delete army
粘贴军队,paste army
添加军队,add army
设施,facility
复制城市,copy city
删除城市,delete city
粘贴城市,paste city
添加城市,add city
删除城市,delete city
地块数据,land data
省规划,province setting
地块归属,Land ownership
省规划模式,province setting mode
添加爆兵,add respawn
粘贴爆兵,delete respawn
城市,city
军队,unit
城市血率,city blood %
添加血率,add city blood %
删除血率,delete city blood %
地块,land
爆兵,unit respawn
国家列表,country list
天气列表,weather list
事件列表,event list
策略列表,strategy list
空中支援,air support
新建单位,add unit
删除单位,delete unit
设置单位,set unit
复制单位,copy unit
起始点,cutting point
结束点,end point
保留军团,save region
保留城市,save city
保留军队,save army
保留陷阱,save mines
保留方案,save project
保留天气,save weather
保留事件,save event
保留援军,save reinforcement
保留空袭,save air strike
保留策略,save strategy
保留空中支援,save air support
提示:,tip:
1.名称不需要添加后綴(.btl),1. File name does not need to be added. (.btl)
2.保留军团仅会保留被截取地块上有的军团(根据省规划计算),2. Keep the legion only retaining some legions on the intercepted plot. (calculated according to the provincial planning)
"3.保留军队,城市等依赖地块的单位仅会保留被截取地块部份上的单位。",3. Retaining units such as armies and cities that depend on land parcels will only retain the units on the intercepted land parcels.
"4.所有拥有依赖国家单位数据的单位(列如空中支援里的军团数据),在保留国家后且还存在这个军团才会保留。",4. All units with data that rely on national units (such as legion data in air support) will be retained after the country is retained and the legion still exists.
空袭,air strike
添加空袭,add air strike
编辑,edit
删除,delete
复制,copy
常规,common
底图大小,Basemap size
窗口设置,Window settings
极限,limit
极低,Low
正常,Normal
窗口模式,window mode
全屏模式,Fullscreen
陷阱,mines
添加陷阱,add mines
删除陷阱,delete mines
国旗,flag
添加国旗,add flag
删除国旗,delete flag
